"","n","S","S.hat.norm","Bias.norm","LL.norm","UL.norm","coverage.norm","LL.prob.norm","UL.prob.norm","S.hat.t","Bias.t","LL.t","UL.t","coverage.t","LL.prob.t","UL.prob.t","S.hat.robust","Bias.robust","LL.robust","UL.robust","coverage.robust","LL.prob.robust","UL.prob.robust"
"1",50,0,0.00742360139505675,0.117329275231392,0.00181671278465243,0.374551816184608,0.974,0.026,0,0.00745727953910795,0.117166497340673,0.00171071555813486,0.328358703751705,0.976,0.024,0,0.00773898524611387,0.116641674149405,0.00255100009163143,0.327449756382098,0.97,0.03,0
"2",100,0,0.00357063629594215,0.0806631342013645,0.00099025642096573,0.260780698721331,0.978,0.022,0,0.00366212113164255,0.0811673202911519,0.00120418144450226,0.227498562452068,0.977,0.023,0,0.00378376119028225,0.0812301835409911,0.0014544622071606,0.227256833838169,0.972,0.028,0
"3",150,0,0.00255387702051471,0.0678616828130043,0.00158027951958157,0.216202590049808,0.966,0.034,0,0.00259560973204596,0.067971566378364,0.00167529979183601,0.188966019534351,0.963,0.037,0,0.00261761351096716,0.0677874335346384,0.00173437777176727,0.188539645647152,0.967,0.033,0
"4",250,0,0.00148125851991105,0.0506884098145172,0.000948801860613016,0.164776875818428,0.973,0.027,0,0.00146555995485981,0.0506424398841636,0.000953311731186994,0.142830331200717,0.97,0.03,0,0.00150204240940659,0.0507603992464221,0.00106312706896398,0.142833615857127,0.971,0.029,0
"5",500,0,0.00070005299950091,0.0356017715776846,0.000536405819631715,0.116693690565293,0.976,0.024,0,0.000697331986503399,0.0355866954325045,0.0005616401084961,0.101353854631034,0.977,0.023,0,0.000694160685989905,0.0355163059733642,0.000558909472721846,0.101294116856782,0.974,0.026,0
"6",50,0.1,0.0115147402614436,0.0434605276679711,0.00681618965297902,0.400739422937326,0.951,0.025,0.024,0.0112571257314231,0.0425190636489899,0.00635806759016305,0.357304191110622,0.918,0.025,0.057,0.0117175911470348,0.0420110639506962,0.00702020781031138,0.356445697506752,0.917,0.026,0.057
"7",100,0.1,0.00584380081712098,0.0159072602153498,0.00636648277161729,0.30333141855403,0.956,0.02,0.024,0.00587390639982928,0.0161985168075859,0.00604813746542113,0.27320935071204,0.929,0.017,0.054,0.00607379993932293,0.0159739739751298,0.00656558564990858,0.272736232348869,0.92,0.026,0.054
"8",150,0.1,0.00474767071116042,0.00541973035953258,0.00894079303434211,0.258852456436786,0.952,0.025,0.023,0.00484621362537194,0.0057646435902607,0.00890542356797501,0.236218549920343,0.919,0.026,0.055,0.00492302212138064,0.0058592470740766,0.00911799594860479,0.236291425971605,0.923,0.023,0.054
"9",250,0.1,0.00333507167183381,0.0029348032359634,0.0135530788524251,0.223827809356199,0.955,0.02,0.025,0.00338067476900112,0.00317547686848424,0.0135119407728538,0.208876348871786,0.938,0.017,0.045,0.00341866906342072,0.00303632656272093,0.013481925004616,0.208708328774146,0.938,0.019,0.043
"10",500,0.1,0.00182515090003684,-0.00135634588879998,0.0221495644374108,0.185650394255024,0.956,0.017,0.027,0.00185680993838575,-0.00124678164203042,0.0219740476135801,0.178287070300807,0.931,0.016,0.053,0.0018674688541687,-0.00125038059522876,0.0220024399534592,0.178173062341671,0.929,0.019,0.052
"11",50,0.2,0.0154193805739714,0.00942220076444194,0.0227587427755767,0.477623296583698,0.95,0.024,0.026,0.0172500228364478,0.0129229644743713,0.023081656416147,0.447297386123629,0.916,0.028,0.056,0.0187439222249783,0.012810745158265,0.0256521995771594,0.446624014790452,0.91,0.034,0.056
"12",100,0.2,0.00907728079718854,-0.00110237492412897,0.0370661703477836,0.391732249486338,0.952,0.021,0.027,0.00923275902241318,-0.00153246372035446,0.0355895945106166,0.373672834981016,0.922,0.024,0.054,0.00986712129977047,-0.00143326284276934,0.0364091981570001,0.373892594339207,0.921,0.026,0.053
"13",150,0.2,0.00615267209287893,-0.00785845549586679,0.048394840379004,0.350890106507412,0.961,0.013,0.026,0.00643523956653334,-0.00753842561897273,0.0473710226537568,0.340964115687761,0.919,0.016,0.065,0.00666179719711166,-0.00770861858526921,0.0473806111171787,0.340552711598482,0.911,0.02,0.069
"14",250,0.2,0.00389406763376719,-0.00102179336793167,0.0774146387925567,0.322360226818658,0.947,0.021,0.032,0.0039539081080366,-0.000912421849354762,0.0764154835129246,0.32038829513766,0.93,0.018,0.052,0.00407171026990094,-0.00141153809465836,0.0760276078992063,0.319768885597359,0.92,0.025,0.055
"15",500,0.2,0.00194194077913317,0.000269418778607591,0.112641493616951,0.287962041997338,0.947,0.028,0.025,0.00199542536933783,0.000404296413164919,0.111724215626837,0.28868010198898,0.95,0.024,0.026,0.00206307355083849,0.000399582061852473,0.111736407633483,0.28867679282741,0.95,0.025,0.025
"16",50,0.3,0.0181787068381936,-0.00367851374754182,0.0618280032375195,0.571443892450924,0.949,0.026,0.025,0.0209385594716382,0.00175365928616546,0.0599136061877715,0.556505824217806,0.924,0.022,0.054,0.0239420026307807,0.00398985343537055,0.0635443036015095,0.558242169726814,0.903,0.039,0.058
"17",100,0.3,0.0102948105024139,0.00151091645046172,0.110856426325328,0.495887219304537,0.943,0.028,0.029,0.0111074242868357,0.00247660904518729,0.107686961629318,0.494834456757624,0.911,0.025,0.064,0.0120200921031081,0.00320641742461085,0.10866440411744,0.495500410293822,0.905,0.034,0.061
"18",150,0.3,0.00639632997789027,0.000725607577966926,0.141176869312458,0.460887752361236,0.944,0.036,0.02,0.00711033319062365,0.00265787924330478,0.138626029683284,0.463964728988485,0.925,0.03,0.045,0.00785651690734786,0.00268994887509009,0.138737042476276,0.46402559707435,0.918,0.033,0.049
"19",250,0.3,0.00412442087385482,-0.0021130758949627,0.173595213873587,0.421519661522735,0.946,0.031,0.023,0.00440976518681779,-0.00201161599428613,0.170892267830567,0.424419998649516,0.952,0.026,0.022,0.00476733139102076,-0.0024729507303331,0.170428796179578,0.423941010397743,0.936,0.038,0.026
"20",500,0.3,0.00216707669403722,-0.000667195600686778,0.211625820076418,0.386930253788586,0.94,0.036,0.024,0.00235052832940952,-0.000396283799114709,0.209811374926332,0.389108903287181,0.942,0.036,0.022,0.00254692280971412,-0.000717130946008157,0.209490796309039,0.388788132159642,0.924,0.042,0.034
"21",50,0.4,0.0229184415874157,0.00228756380284379,0.1391789565676,0.676285458128452,0.915,0.04,0.045,0.0270622239708801,0.00709100013059698,0.131810971560598,0.679826529775733,0.887,0.037,0.076,0.0321191656882218,0.00668233663838262,0.133273771617206,0.678529852813599,0.871,0.05,0.079
"22",100,0.4,0.0101553487553256,-0.0013244811193183,0.202778821927449,0.594236511398558,0.948,0.025,0.027,0.0116889195401079,0.00147048626203518,0.196575482104796,0.603323816958665,0.928,0.024,0.048,0.0130766823490607,0.00107929033137972,0.196268978274367,0.602724449301411,0.901,0.043,0.056
"23",150,0.4,0.00676451106268926,0.00210485716580895,0.241520886444552,0.5615313816,0.946,0.023,0.031,0.00782483748164611,0.00381709747621106,0.236525245498407,0.569698560389692,0.947,0.026,0.027,0.00872187591256732,0.00328919956502514,0.236049929317535,0.569187140253467,0.926,0.041,0.033
"24",250,0.4,0.00412838219404394,0.000427155099036666,0.276483262088673,0.52440105891451,0.931,0.034,0.035,0.00482245971927357,0.00206689604802218,0.272675411473938,0.530713131031423,0.931,0.034,0.035,0.00556568628276818,0.00200090146910414,0.272591099805055,0.530666221704571,0.907,0.046,0.047
